Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,,,"17,26896095","3,54362966",100,"28421,3865","70,2","62,659","0,2980","43,01591",,177,
Africa Eastern and Southern,AFE,"6,70714202",,,"8,559129715","2,974101283","33,9035146","1545,55908","9,6","78,644","1,6652","3,420074",,394925,
Afghanistan,AFG,"8,989","45,4327",,,"1,45131466","71,5","592,476165","25,3","75,622","3,9520","79,61234",,-281739,"2,77"
Africa Western and Central,AFW,"4,241135882",,,"9,678580284","2,7500419","46,7589482","1880,75078",..,..,..,..,,-360393,
Angola,AGO,"9,584",,,"8,683790207","0,943571561",42,"3100,83069","3,5",..,"6,4858",..,,74170,"3,35"
Albania,ALB,"17,19","87,3884","94,1784","62,98656082","2,218726375","99,98","3952,80358","88,3","60,655","1,1252","0,476824",,-12240,"5,91"
Andorra,AND,,,,"13,88195992","1,434140395",100,"38885,5303","7,7","77,913","5,4502","8,461538",,-232,
Arab World,ARB,"10,96821927","62,0656","83,2452","29,36167908","3,448878174","89,0538516","6283,25603","11,6","76,76","4,3019","12,90753",,-194516,
United Arab Emirates,ARE,"1,763",,"93,7364",,"6,786772877",100,"41525,1389","14,4","74,436","1,8563","47,70375",,-14154,"2,75"
Argentina,ARG,"7,524","88,4405","99,4958","83,76258087","2,731159828","99,6890335","13789,0604",..,"75,683",..,..,,5522,"7,02"
Armenia,ARM,"12,177",,"92,6954","45,46743011","3,199999999",100,"3666,14183","3,9","82,4","16,1985","1,873984","703,2",-27283,4
American Samoa,ASM,,,,,"3,149606299",,"13101,5418","3,7","81,1902439","7,3189","6,345455",,-1629,
Antigua and Barbuda,ATG,,"86,0005","94,1655",,"3,825293099",100,"14861,8827","26,3","71,451","3,2928","144,0419",,60,
Australia,AUS,"6,05","93,2381","96,9821","119,67939","2,152735906",100,"56708,9612","13,9","73,104","5,6211",..,,209466,"9,01"
Austria,AUT,"5,72","86,7116","88,5945","82,25630951","1,014501586",100,"44195,8176","7,4","79,405","22,3856","3977,5",4937,115125,"8,54"
Azerbaijan,AZE,"4,96",,"94,1427","25,48320007","1,093975916",100,"5500,50462",38,"70,491","0,4635","34,1619","2067,8",1084,"2,71"
Burundi,BDI,"1,477","28,899",,"5,391960144","-3,90000008","7,89011478","289,359627","14,1","76,65","4,5654","87,5",,-236447,"2,49"
Belgium,BEL,"8,48","93,6535","98,0674","76,42394257","2,041459009",100,"41008,2967","4,1","73,62439024","5,7997","4,258824",3607,57008,"7,93"
Benin,BEN,"2,023","46,5805",,"12,90738964","1,77815106","29,62","1041,65252","4,1","80,99268293","8,4348","33,28333",,3366,"5,72"
