Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Cameroon,CMR,"3,629","22,752425","69,86035",,"3,475059979","63,1768951","1538,68791","13,7","76,752","1,5778","1,316311",884,-12254,"2,85"
"Congo, Dem. Rep.",COD,"4,436",0,0,,"4,384528881","19,1","575,882781","53,1","64,068","0,4124","0,833333",3641,-144916,"1,13"
"Congo, Rep.",COG,"20,612",0,0,,"-0,08688596","47,7288208","2288,80809","84,4","60,276","0,0337","0,075956",,-6271,"3,11"
Colombia,COL,"9,96","76,459225","92,74695","56,66630173","3,186855392","99,4442596","6436,50922","52,4","62,747","1,2577","0,020721",,395803,"7,13"
Comoros,COM,"8,063","23,334025","40,147825",,"1,760780239","83,3279495","1510,79732","8,2","79,427","1,5648","2,777106",,-2917,"3,15"
Cabo Verde,CPV,"12,207","71,3024","93,0304",,"7,636081689","91,4","3928,3091","79,7","59,319","0,4145","1,512233",,-1296,"7,78"
Costa Rica,CRI,"10,81","81,807175","97,366675","54,71897125","2,417511818","99,71","12669,3412","4,7","78,42439","4,0645","1,777188",,4154,"8,13"
Caribbean small states,CSS,"6,844145295","73,658725","88,765925",,"0,826853047","98,0299509","10409,7164","5,2","77,611","2,1577","18,25289",,-53765,
Cuba,CUB,"1,2","84,0271","95,4405","43,99377823","-0,16483998","99,8","9139,41586",..,..,..,..,,-13686,"2,84"
Curacao,CUW,,0,0,"15,28120136","-3,37179918",100,"19024,1772","2,8","81,397","5,8519","29,61538",,-9592,
Cayman Islands,CYM,,0,0,"39,87603378","3,915636377",100,"89846,3211",3,"79,22927","9,1561","11,45247",,973,
Cyprus,CYP,"7,07","71,01565","72,8979","88,48532867","5,529428549",100,"29417,9219","3,8","81,45122","5,1074","15,7599",,4948,"7,59"
Czechia,CZE,"2,01","67,921875","66,70955","66,88021851","3,029878663",100,"23664,8479","57,9","63,085","0,3988","6,333333",9396,4030,"7,69"
Germany,DEU,"3,14","64,222825","67,44795","72,70507813","1,056603898",100,"46793,6868","35,2","73,559","2,4374",10,33423,360560,"8,68"
Djibouti,DJI,"26,315","9,4542","59,931975",,"5,5451306","64,7","2876,04366","34,3","73,577","2,3686","30,37021",,1322,"2,77"
Dominica,DMA,,"42,17545","23,85545",,"5,502483437","99,9192276","8561,58701","13,4","77,297","2,2851","2,241365",,326,
Denmark,DNK,"5,02","67,551525","73,9009","81,69458771","1,493486959",100,"59592,9807","20,3","71,358","2,0632",7750,,23305,"9,22"
Dominican Republic,DOM,"6,18","69,40015","93,11155","62,51058578","5,05216802",99,"8173,34465","13,3","72,559","1,2599","2,489443",,-29830,"6,54"
Algeria,DZA,"10,495",0,"97,590675","54,1856308",1,"99,5","4021,98361","81,9","61,644","3,1400","0,076154","4020,25",-36386,"4,01"
East Asia & Pacific (excluding high income),EAP,"3,895632475","78,48465","23,966475","47,64109039","5,782893628","97,6460019","8169,00892","40,6","67,3","0,1993","20,78571",,-470333,
Early-demographic dividend,EAR,"6,199371888","63,2894","90,2802","31,37001991","2,390262687","92,8276589","3506,63418","2,3","78,64634","7,5821","7,918568",,-3253155,
East Asia & Pacific,EAS,"3,816317549","78,894975","23,976975","50,14086151","3,961600412","97,8721175","11480,7038","56,9","60,549","0,9999","40,45455",,232677,
Europe & Central Asia (excluding high income),ECA,"7,212846495","88,4856","92,827525","75,82106018","2,242776877","99,8852233","8128,39505","50,9","65,838","0,1552","8,645984",,-177605,
Europe & Central Asia,ECS,"6,64345037","90,073775","95,3965","74,16783905","1,798952171","99,9503382","24870,5765",..,"82,94634",..,..,,1314636,
Ecuador,ECU,"3,81","85,164275","91,4735","48,08787918","0,012105103","99,09","6233,25817","26,9","67,893","1,5172","0,297373",,71801,"6,33"
"Egypt, Arab Rep.",EGY,"7,851","61,294475","72,8785",,"5,552093072",100,"3017,25834","2,3","81,98293","7,4230","2,803738",,-59715,"3,06"
Euro area,EMU,"7,522523889","90,404","73,1499","76,01676178","1,583982869",100,"39183,1023","4,3","82,82683","4,4602","13,13604",,1102506,
Eritrea,ERI,"5,704","31,26155","40,742875",,,"50,2704086",,..,"82,996",..,..,,-29849,"2,37"
Spain,ESP,"14,1","71,14775","73,86355","91,02026367","1,983966223",100,"29581,5186","43,2","66,603","2,3518","0,084817",15718,458942,"8,29"
Estonia,EST,"4,51","70,597625","70,162525","72,7060318","3,739706682",100,"23424,4847","51,5","63,755","0,2419","3,386667",,5410,"7,9"
Ethiopia,ETH,"3,219","7,70345","21,155875",,"8,364085699","48,0476189","840,449603","9,7","73,47","2,8358","2,704524",,-10803,"3,44"
European Union,EUU,"6,679809779","91,358375","72,6976","73,86991882","1,806879835","99,9874478","35077,7286","3,7","81,29268","7,9272","22,84393",,1192639,
Fragile and conflict affected situations,FCS,"5,983253264","37,158025","76,54915","14,86408997","2,213677649","55,5003551","1906,88722","47,2","64,74","0,5723","4,780858",,-1470507,
Finland,FIN,"6,69","71,825825","74,2006","94,58911896","1,224748922",100,"48629,8582",..,"82,363",..,..,5923,15558,"9,25"
Fiji,FJI,"4,442",0,"48,872525","50,55891037","-0,58194671","96,0940475","5968,31956",4,"81,63902","5,5953","17,43966",,-11865,"5,85"
