Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Bahrain,BHR,"1,185","90,1935","96,7149","48,53865814","2,111130473",100,"25415,8466","29,6","71,129","1,9083","0,433205",,-3601,"2,71"
"Bahamas, The",BHS,10,"62,4958","74,2272",,"1,533237259",100,"31483,9788","27,7","67,748","1,8852","0,687974",,1001,
Bosnia and Herzegovina,BIH,"18,4",,,"43,15710831","3,827499205",100,"6024,49155",6,"77,093","6,6515","0,878873","1018,054",-29154,"4,98"
Belarus,BLR,"4,76","95,6395","94,9286","84,53964233","3,149639499","99,3487625","6360,05206",39,"65,422","3,2885","8,5",5459,15731,"3,13"
Belize,BLZ,"7,814","71,149","95,9424","24,64558983","1,103448276","91,72","6059,16255","15,2","75,109","2,0643","1,174704",,1185,
Bermuda,BMU,,,,"22,86447906","-0,4328013",100,"113050,737","11,5","75,831",..,..,,306,
Bolivia,BOL,"3,52","76,5544","92,8514",,"4,223623653","92,8","3471,00695","11,2","74,712","17,3623","1,082353",,-9345,"5,7"
Brazil,BRA,"12,46",,,"51,19168854","1,783666762","99,7","9121,02009",7,"74,96341","5,8218","25,83333",,67934,"6,97"
Barbados,BRB,"8,32","93,6308","96,6929",,"-1,0271391",100,"18224,8906","91,3","60,047","0,2524","6,544",,-65,
Brunei Darussalam,BRN,"8,7","82,6455","93,1467","31,53529358","0,052237791",100,"31241,024","59,1","61,688","0,0579","2,784294",,-638,
Bhutan,BTN,"3,35","70,1989","88,026","14,87888336","3,055129837","99,9576721","3210,70781","15,9","75,733","1,0411","8,433333",,291,"5,3"
Botswana,BWA,"19,838",,,,"4,189846946","68,2547379","6947,81784","27,8","70,561","0,8459","1,810945",886,3819,"7,81"
Central African Republic,CAF,"5,7",,,,"3,789443593","14,6439552","435,932296","77,7","61,18","0,3888","0,398681",,-53083,"1,52"
Canada,CAN,"5,83",,,"69,57759857","2,777040554",100,"46547,7952","5,2","81,8439","15,6367","1,272035","47687,4",417974,"9,15"
Central Europe and the Baltics,CEB,"4,316469158","89,7389",,"64,4177475","4,939312739","99,8772294","16077,0239",..,..,..,..,,-61261,
Switzerland,CHE,"4,71",,,"64,35339355","2,860445795",100,"85216,643","108,8","54,369","0,0450","0,051418","4046,845537",40899,"9,03"
Channel Islands,CHI,"6,932",,,,"1,052290562",100,"62316,2199",118,"52,825","0,0998","5,864",,2353,
Chile,CHL,"7,21",,,"91,19747925","3,990029478",100,"15795,7081",..,"81,375",..,..,2396,237358,"7,97"
China,CHN,"4,31",,,"54,00762177","6,749773832",100,"9905,40612","7,4","80,133","4,6297","3,996384",96353,-296674,"3,32"
Cote d'Ivoire,CIV,"2,835","40,1981","90,3284",,"4,843146059","67,1486588","2295,54033","8,6","77,744","7,5332","21,07825",639,-17190,"4,15"
Cameroon,CMR,"3,609",,,"14,3037796","3,95551424","62,2","1594,06011","14,1","76,748","1,6104","1,265451",884,-9185,"3,28"
"Congo, Dem. Rep.",COD,"4,434",,,,"5,8211211","18,6838589","546,212593","54,9","63,912","0,3899","0,833333",3641,-124242,"1,49"
"Congo, Rep.",COG,"20,644",,,,"-4,80535156","47,0374832","2512,38417","87,2","59,942","0,0323","0,075956",,-8858,"3,31"
Colombia,COL,"9,11","77,4708","92,92","57,32054138","2,564324283","98,5","6782,03792","47,7","64,053","1,1426","0,020721",,494364,"6,96"
Comoros,COM,"8,043","50,3575","80,7538",,"3,642451138","81,019722","1531,33781","8,4","79,484","1,6201","2,702354",,-2919,"3,71"
Cabo Verde,CPV,"12,17","70,4283","93,4219","20,21744919","3,706964583","90,1969299","3860,45481","82,8","58,849","0,3999","1,512233",,-1323,"7,88"
Costa Rica,CRI,"9,01","82,448","97,3326","52,86867905","2,615904404","99,7","12383,1499","4,8","78,07073","4,0201","1,785146",,4198,"8,07"
Caribbean small states,CSS,"7,136060129","74,2732","87,8952",,"1,275835929","97,5543062","10339,1008","5,3","77,496","2,3547","18,25289",,54518,
Cuba,CUB,"1,7","84,1816","97,7399","41,59437943","2,248480393","99,6126251","8831,90722",..,..,..,..,,-14219,3
Curacao,CUW,,,,"15,87489223","-2,16688148",100,"18956,098","2,8","81,382","5,9062","26,53846",,25591,
Cayman Islands,CYM,,,,"33,22946167","4,267265672",100,"85231,7752","3,1","79,02927","9,6646","12,09125",,1054,
Cyprus,CYP,"8,37",,,"81,33708191","5,647858201",100,"29419,8867","3,9","80,95366","5,7189","18,43028",,4977,"7,59"
Czechia,CZE,"2,24",,,"66,79022217","3,22008807",100,"23424,4805","59,9","63,038","0,3925","6,333333",9406,3193,"7,69"
Germany,DEU,"3,38",,,"69,16342926","0,981232606",100,"47939,2783","34,5","73,59","2,3340",10,33440,392587,"8,68"
Djibouti,DJI,"26,149",,"61,8034",,"4,774416888","62,4083328","2755,83829","34,8","73,232","2,3562","30,37021",,1435,"2,87"
Dominica,DMA,,,,,"3,547584418","99,5681305","7833,19501","13,9","77,094","2,3668","2,241365",,194,
Denmark,DNK,"5,13",,,"81,14054871","1,989537315",100,"61591,9289",21,"71,367","2,2940",7750,,23337,"9,22"
Dominican Republic,DOM,"5,86","70,6061","92,7136","61,27082443","6,982527585","98,9","7947,15935","13,8","72,555","1,0906","2,46833",,-29944,"6,54"
Algeria,DZA,"10,416",,"97,6352","53,1637001","1,2","99,6377411","4171,79531","84,7","61,191","3,3743","0,076154","4016,25",-36227,"3,5"
East Asia & Pacific (excluding high income),EAP,"3,810235058","78,4654",,"45,49300003","6,525437059","97,4175048","7944,47137","41,9","67,067","0,1967","20,78571",,-456693,
Early-demographic dividend,EAR,"6,640975439","64,0802","90,3072","30,48262978","3,820511586","92,0410531","3480,28078","2,5","78,2439","11,8889","12,6557",,-3454072,
East Asia & Pacific,EAS,"3,751713803","78,9053",,"48,07263184","4,75995563","97,6662419","11311,7691","59,6","59,411","0,9529","40,45455",,205151,
Europe & Central Asia (excluding high income),ECA,"7,028235513","88,0864","91,8192","73,94509125","3,163410295","99,9417475","7995,71883","53,2","65,412","0,1532","8,645984",,-234824,
Europe & Central Asia,ECS,"6,869321285","89,9256","94,8748","72,46617126","2,174963089","99,9710596","25244,0338",..,"82,59512",..,..,,1142576,
Ecuador,ECU,"3,53","84,6704","90,9417","48,32788086","1,289291933","98,7","6321,3494","26,3","67,81","1,5095","0,297373",,153372,"6,27"
"Egypt, Arab Rep.",EGY,"9,855","82,7764","97,0326","36,71715164","5,331108619",100,"2531,20008","2,3","81,73415","8,0492","2,616822",,-61050,"3,36"
Euro area,EMU,"8,156872801","90,6051",,"74,79415131","1,783348682",100,"40045,5662","4,3","82,67561","4,5705","13,46146",,1027086,
Eritrea,ERI,"5,697","41,575","51,4552",,,"49,1476898",,..,"82,783",..,..,,-21435,"2,37"
Spain,ESP,"15,25",,,"92,17488861","2,284469419",100,"30379,7211","44,9","66,306","2,3359","0,084817",15618,339064,"8,08"
Estonia,EST,"5,41",,,"72,06596375","3,78420085",100,"23165,8495","53,4","63,04","0,2445","3,386667",,7229,"7,97"
Ethiopia,ETH,"3,058",,,"10,38192368","6,816147797","44,844326","758,29769","9,8","73,341","2,6097","2,221091",754,9309,"3,35"
European Union,EUU,"7,253803188","91,4664",,"72,78529358","2,065957679","99,9718374","35749,0881","3,8","80,89268","8,5370","22,84393",,1075197,
Fragile and conflict affected situations,FCS,"5,919757766","37,6283","77,028","14,97856998","2,613980787","54,5866439","1847,17353","49,1","64,122","0,5434","4,780858",,-1882885,
Finland,FIN,"7,36",,,"92,38500214","1,139718013",100,"49987,6262",..,"82,154",..,..,5926,11646,"9,14"
Fiji,FJI,"4,315",,,,"3,812351222","95,0606308","6073,3952","4,2","81,7878","6,0581","17,45172",,-11738,"5,85"
France,FRA,"9,02",,,"67,54351807","1,865066071",100,"41557,8549",..,"71,88659",..,..,28241,14391,"7,8"
Faroe Islands,FRO,,,,,"2,731552155",100,"62576,8038","16,5","74,808","2,6289","7,05",,653,
"Micronesia, Fed. Sts.",FSM,,,,,"0,2116536","78,3121643","3623,32934",..,"77,439",..,..,,-1283,
Gabon,GAB,"20,747",,,,"0,837916581","89,5746078","7694,90605","25,4","72,726","1,1058","3,044048",810,2893,"3,61"
United Kingdom,GBR,4,,,"61,67129898","1,705021022",100,"43306,3083","106,2","59,349","0,2975","0,393805",16295,230577,"8,53"
Georgia,GEO,"12,67","95,9475","96,4362","66,04177856","4,842919885","99,9","4722,04242","82,4","60,502","0,1651","1,09375",1285,-5174,"5,5"
Ghana,GHA,"3,429","58,2609","84,4805","16,01543999","6,200077681","80,4","2180,02968","30,3","68,896","3,2935","0,599461",,-19374,"6,63"
Gibraltar,GIB,,,,,,100,,"64,4","64,019","0,2987","11,14784",,-58,
Guinea,GIN,"4,977",,,"7,599748135","6,358491927",45,"944,417269","18,4","72,814","0,9222","1,772557",,-9195,"3,14"
"Gambia, The",GMB,"4,13",,"76,8164",,"7,234890333","60,3","683,324638",..,"84,93415",..,..,,-3936,"4,31"
Guinea-Bissau,GNB,"3,2",,,,"1,283736703","28,3832016","781,644368","4,2","76,06585","5,0333","81,97436",,-1396,"1,98"
Equatorial Guinea,GNQ,"8,2",,,"6,16062212","-6,23654407","66,4624863","8719,18687","2,7","82,86098","4,8177","0,170588",,15583,"1,92"
Greece,GRC,"19,29",,,"138,3936768","1,668428636",100,"19756,9905","36,4","70,71","1,7956","44,7787",2293,-23600,"7,29"
Grenada,GRD,,,"95,8663","96,89232635","4,361440394","92,3","9574,31027","24,6","70,338","2,1268","11,02863",,-190,
Greenland,GRL,,,,,"0,623065429",100,"54545,3",14,"76,195","7,4451","72,33463",,-357,
Guatemala,GTM,"2,28","43,7767","86,8863","17,51636696","3,4068734","94,2099915","4485,75238",27,"71,514","4,1427","95,35227",,-56884,"5,6"
Guam,GUM,"5,547",,,,"-0,79222182",100,"35902,7259","3,4","82,20488","7,6990","2,912245",,-1850,
Guyana,GUY,"14,02",,,,"4,441013589","90,8877106","6094,90984",..,"80,596",..,..,,30080,"6,67"
High income,HIC,"5,081764428","90,8193","96,1517","76,46032715","2,360293352","99,9660777","44530,3801","3,7","82,80244","6,9150","148,2667",,4353899,
"Hong Kong SAR, China",HKG,"2,81","96,1412","95,4548","83,92814636","2,846920534",100,"48537,5669","3,2","83,34634","5,3769","18,45753",,0,"6,15"
Honduras,HND,"5,62",,,"26,21419907","3,84499477","91,6","2457,68601","13,7","71,793","3,0546","12,47344",,-6768,"5,63"
Heavily indebted poor countries (HIPC),HPC,"4,61918565","32,8487","80,41","8,634340286","3,88565618","44,0275874","973,033541","2,5","84,21098","8,7620","18,39535",,-243350,
Croatia,HRV,"8,43",,,"68,3151474","2,800676199",100,"15003,1407",16,"75,774","2,3624","135,3372",2605,-13171,"6,57"
Haiti,HTI,"13,755",,,,"1,667810955","44,4362411","1489,57841","10,3","73,15","11,8676","36,5843",,-35007,"4,91"
Hungary,HUN,"3,71",,,"50,89841843","5,362348362",100,"16425,205","40,8","62,676","0,3854","19,47826","7587,7",31976,"6,63"
IBRD only,IBD,"6,181857001","73,5713","94,3297","42,67216873","4,942815305","97,7534775","6363,72285","52,9","66,855","0,5987",..,,-1650617,
IDA & IBRD total,IBT,"5,843179529","63,3278","88,6131","33,03371811","4,887705414","88,2991347","5076,88441","18,2","73,031","1,9550","12,92209",,-4083590,
IDA total,IDA,"4,667223977","41,6431",,"10,98145962","4,215279336","61,3310229","1410,16581","3,2","82,62683","12,2165","45,02236",,-2432973,
IDA blend,IDB,"4,760595183","44,9379",,"9,69631958","3,761697782","73,3779468","1875,79861","11,9","78,696",..,..,,-1638982,
Indonesia,IDN,"4,39","78,7311","93,4963","36,79545975","5,17429154","98,51","3902,66168","8,8","79,722","21,4612",..,"5483,312",-39878,"6,39"
IDA only,IDX,"4,625658665","39,9453","81,3439","11,63212013","4,603122398","55,328364","1178,52443",19,"71,4","1,7883","15,75107",,-793991,
Isle of Man,IMN,,,,,"2,213397869",100,"89425,8914","47,5","67,634","2,7676","3,844538",,272,
India,IND,"7,65",,,"27,42119789","6,453851345","95,7","1974,37773","4,2","74,78293","4,0397","1,082344",69249,-561563,"7,23"
Not classified,INX,,,,,,,,"8,8","79,729","4,6046","37,75",,,
Ireland,IRL,"5,74",,,,"8,527541391",100,"79250,3879","76,4","53,733","1,0358","0,837476",1888,33647,"9,15"
"Iran, Islamic Rep.",IRN,"12,19",,,"62,71046829","-2,25386361",100,"3829,82986","82,6","60,853","0,2304","0,07295",9327,-29981,"2,45"
Iraq,IRQ,"14,065",,,,"2,633850991","99,9","5601,46706","11,9","72,794","8,3516","817,1429",,6660,"4,06"
Iceland,ISL,"2,7",,,"69,34023285","4,889172995",100,"74452,1891",..,"83,04146","3,7440",..,,6611,"9,58"
Israel,ISR,4,,,"57,3934288","4,070321887",100,"42406,8454","4,1","75,68049","4,1593","1,645472",1521,15615,"7,79"
Italy,ITA,"10,61",,,"64,47521973","0,925810941",100,"34622,1697","2,8","82,29512","15,3315","5,22","16780,8",75863,"7,71"
Jamaica,JAM,"5,47","73,968","81,0188",,"1,889923681","98,1504211","5594,49311",..,"84,928",..,..,,-11329,"7,02"
Jordan,JOR,"18,26","62,5968","80,8644","32,30656815","1,919072636","99,9","4146,40731","65,8","65,27","0,1231","3,993323",,33554,"3,93"
Japan,JPN,"2,47",,,"62,2089386","0,643391023",100,"39751,1331","47,8","63,276","0,0876","8,406444",,177470,"7,99"
Kazakhstan,KAZ,"4,85","99,837","87,5868","53,51586151","4,1",100,"9812,62542",8,"75,644","7,4524","1,156379","16060,8",-31760,"2,94"
Kenya,KEN,"4,245",,,"18,09276581","5,647946407","61,1806145","1845,78341","7,6","80,013","3,6265","15,66667",,-115434,"5,11"
Kyrgyz Republic,KGZ,"3,67","84,3873","89,8577","39,91525269","3,757910125",100,"1308,13978","106,2","59,393","0,1940","8,643333",424,-30717,"5,11"
Cambodia,KHM,"0,142",,"90,2655","13,97683811","7,469169207","80,7008286","1533,31598","6,3","82,44878","3,2035","84,623",,-51685,"3,59"
Kiribati,KIR,,,,,"5,113636364","87,4659195","1607,22965","32,7","64,5","3,2856",..,,-776,
St. Kitts and Nevis,KNA,,,,,"2,052022866",100,"22548,1506","44,6","65,31","0,8701","337,05",,-191,
"Korea, Rep.",KOR,"3,82",,,"93,32817841","2,907403774",100,"33436,9231","15,4","74,41634","3,2664","21,4831",4200,118642,8
Kuwait,KWT,"2,158",,"82,6332","52,11346054","2,433981269",100,"32012,1352","14,7","74,015","3,5875","21,72127",,144967,"3,85"
Latin America & Caribbean (excluding high income),LAC,"8,108298861","77,2994","93,8097","49,70140839","1,626829439","97,5798249","8387,84906","27,3","71,318","1,3324",..,,696616,
Lao PDR,LAO,"3,266","60,0122","91,4671","14,5235405","6,247960008","92,9","2553,36187",15,"70,492","3,1604","51,66667",,-10303,"2,37"
Lebanon,LBN,"10,728",,,"47,27510834","-1,88470576","99,7","9225,84515","3,2",..,..,..,,-233520,"4,63"
Liberia,LBR,"3,025",,,,"1,157575122","22,7701359","700,037039","16,8","71,199","6,8097","1,328736",,-23226,"5,35"
Libya,LBY,"19,446",,,,"7,941367853",67,"11838,2987",3,"76,84146","4,0183",..,,5835,"2,19"
St. Lucia,LCA,"19,08","81,3125","95,3981","14,69777012","2,880376394","99,9905014","11563,8721","20,4","73,986","1,7893","36,45862",,0,
Latin America & Caribbean,LCN,"7,938163723","77,5043","93,7166","52,2324791","1,624768843","97,7599124","8920,94382","76,3","60,526","0,2337","1,468594",,-338149,
Least developed countries: UN classification,LDC,"4,791442589","38,0516","80,7734","10,23548985","4,375865251","51,2158857","1063,20913","46,4","66,465","0,6225","3,313821",,-1047507,
Low income,LIC,"5,107377096","33,5787",,"9,058429718","3,002929698","40,4953094","659,119784","43,6","62,586","1,7788","4,576299",,98978,
Liechtenstein,LIE,,,,"38,3868103",,100,"175286,619","30,5","63,234","4,5287",..,,193,
Sri Lanka,LKA,"4,32","91,0378","99,1071","18,67174721","2,310084255","99,5855789","4360,58474","30,6","68,979","0,5311","4,791675",1562,-97100,"6,19"
Lower middle income,LMC,"6,223680579","59,9137","86,9201","23,76234055","4,754487568","87,7101231","2178,18232",4,"81,8122","8,7851","73,54727",,-3521947,
Low & middle income,LMY,"5,841800652","63,292","88,6073","32,42906189","4,879841587","87,9458078","4900,34641",..,"80,0031",..,..,,-3000791,
Lesotho,LSO,"16,918",,,"9,724470139","-1,48063361",47,"1162,97879",5,"81,70732","6,6133","3,019878",,-3234,"6,64"
Late-demographic dividend,LTE,"5,053262132","82,599",,"52,69081879","5,42333202","99,2874837","9839,70401","15,8","73,85","0,7646","0,832875",,433752,
Lithuania,LTU,"6,15",,,"73,7303009","3,993310328",100,"19186,3596","117,7","62,454","0,0866","69,47174",1911,-14451,"7,5"
Luxembourg,LUX,"5,59",,,"19,39151955","1,219321919",100,"116786,512","119,6","52,554","0,5728","5,643439",288,10096,"8,81"
Latvia,LVA,"7,41",,,"93,02448273","3,991854505",100,"17865,0311","8,1","76,64878","3,3477","39,88352","1859,6",-8632,"7,38"
"Macao SAR, China",MAC,"1,83","86,4211","96,3955","77,33177948","6,464667694",100,"84923,3088",..,..,..,..,,8219,
St. Martin (French part),MAF,,,,,,100,,"2,4","82,75854","7,2613","0,704476",,-1356,
Morocco,MAR,"9,239","64,4924","99,099","35,62242126","3,06564133","98,1","3492,67236","10,8","77,966","16,3796","116,7143",2295,-89007,"4,99"
Monaco,MCO,,,,,"5,95627042",100,"194287,093","69,6","66,482","0,8504","350,4364",,416,
Moldova,MDA,"2,91","77,9559","86,3142","52,83494949","4,075595466","99,99","4156,9575","17,9",..,"11,8619",..,1151,-36088,"5,85"
Madagascar,MDG,"1,833","29,8474","95,6038","5,324389935","3,194356515","36,5","512,543992","15,4","77,863","2,3813","0,886823",673,485,"5,22"
Maldives,MDV,"4,971",,,,"8,123128908",100,"10823,6105","46,9","65,182","0,7626","0,048951",,10578,
Middle East & North Africa,MEA,"9,999063871","72,8989","93,7155","40,42734146","2,105866365","96,1494331","7561,20114",20,"73,568","1,2975","2,062393",,398806,
Mexico,MEX,"3,27",,,"41,63827896","2,194994725","99,5","9857,00749","15,3","76,009","1,6951","2,275184",,-99430,"6,19"
Marshall Islands,MHL,,,,,"4,194018756","95,2622986","4769,19046",28,"71,689","1,2814","19,23963",,-1901,
Middle income,MIC,"5,911031402","68,1247","90,267","35,47018814","4,909223951","93,1358323","5363,87064","4,5","77,60244","8,2095","17,90672",,-3099769,
North Macedonia,MKD,"21,2",,,"40,92596054","2,88059671","99,8","6108,73913","3,6","81,32439","4,8096","16,13034",683,-1000,"5,87"
Mali,MLI,"1,62","29,9271","58,9414","4,966517925","4,746484327","50,9","856,356596",..,"79,77",..,"12,32394",,-40761,"5,41"
Malta,MLT,"3,66",,,"55,74887085","6,140227303",100,"31566,3581","6,5","80,898","31,4810","446,4286",,11180,"8,21"
Myanmar,MMR,"0,77","64,0586","97,9319","20,3939209","6,404977325","66,1009369","1274,91566","7,4","75,35854","3,8611","15,13922",,-114634,"3,83"
Middle East & North Africa (excluding high income),MNA,"11,71082566","70,6101","93,4154","38,33230972","1,680642931","95,5144197","3514,39002","6,3","72,6622","11,4966","1,503247",,25497,
Montenegro,MNE,"15,19","89,0749","96,5485","56,40224075","5,077888811",100,"8850,3784","43,4","66,251","0,1120","6,053981",249,-2024,"5,74"
Mongolia,MNG,"5,38",,"97,6976","59,99847794","7,74488062","98,1","4165,02282","17,9","72,636","1,1860",..,1810,11426,"6,5"
Northern Mariana Islands,MNP,,,,,"-19,26885",100,"25862,7545","1,9",..,..,..,,-817,
Mozambique,MOZ,"3,455",,"93,9293","7,454080105","3,443813083","31,1","504,535826","18,3","68,355","0,6506","1,876147",,-12765,"3,85"
Mauritania,MRT,"10,391","30,9766","79,5744","5,11879015","4,772173639","43,5892792","1749,95424","7,7","77,212","15,0655","974,1667",728,-2987,"3,82"
Mauritius,MUS,"6,43","84,3083","94,8051","40,53107071","4,006740572","99,7866135","11643,4606","43,7","68,097","0,6534","11,72791",,-2209,"8,22"
Malawi,MWI,"4,949","34,2389",,"1,736025453","4,391688296","18,02","537,932204","5,8","75,89024","6,6154","66,10563",,-3706,"5,49"
Malaysia,MYS,"3,3","72,2111",,"45,27841568","4,843086976","99,9971542","11073,9786","14,5","72,84146","6,2246",..,1655,60604,"6,88"
North America,NAC,"4,111494166","93,0678","95,1733","86,45507813","2,930989761",100,"61174,6915","116,8","59,796","0,1328","0,132625",,1619076,
Namibia,NAM,"19,88",,"97,4889","24,9616394","1,059943471","52,3216553","5687,38119","2,5","83,29756","8,0182","81,38333",,-8596,"6,25"
New Caledonia,NCL,"11,603",,,,4,100,"36495,196",..,"75,131",..,..,,-2386,
Niger,NER,"0,542",,,"4,29776001","7,210803008","17,6","567,330849","5,9","77,26585","6,0596","4,416667",,-3816,"3,76"
Nigeria,NGA,"4,963",,,"11,8107748","1,922757342","56,5","2125,83428","2,4","81,37805","6,7857","5,147295",,-81384,"4,44"
Nicaragua,NIC,"5,2",,,"19,30881119","-3,36318654","85,2143326","1981,86317","20,7","70,173","0,4564",..,,-20739,"3,63"
Netherlands,NLD,"3,83",,,"83,65247345","2,360915095",100,"53044,5324","122,5","56,375","0,0426","54,96667",3078,60758,"8,89"
Norway,NOR,"3,8",,,"85,38835144","0,828931484",100,"82792,8427","35,1","65,674","7,6674","43,83929",4200,18388,"9,87"
Nepal,NPL,"10,623",,,"13,00632954","7,622376108","93,92","1161,53435","98,7","55,95","0,1702","2,530769",,-81130,"5,18"
Nauru,NRU,,,,,"7,920792079","99,9187851","10985,8756","3,2","83,43171","5,5211","26,44694",,-39,
New Zealand,NZL,"4,33",,,"81,25131226","3,5251832",100,"43236,8867","7,6","75,748","1,0009","24,51894",,80419,"9,26"
OECD members,OED,"5,464238452","89,368","95,5958","75,52739716","2,358173225","99,8986651","39352,5214","15,9","71,467","5,1339","50,83333",,4044566,
Oman,OMN,"1,8","96,1926","86,2536","44,95402145","1,287103915",100,"19887,5743","23,6","73,357","2,9676","14,3",,-51177,"3,04"
Other small states,OSS,"9,164065805",,"85,4137","19,62001038","2,210753164","76,7381652","14068,447",..,"80,614",..,..,,29729,
Pakistan,PAK,"4,08","37,4004","67,5748","8,392416954","6,151702611","93,3974915","1620,7426","15,2","74,128","2,3964","7,9",7791,-1309609,"4,17"
Panama,PAN,"5,218",,,,"3,685429938","93,8","16156,0743","60,3","65,681","0,5160","673,375",,11130,"7,05"
Peru,PER,"3,49","89,3098","95,6517",,"3,969351341","95,2","6912,10462","18,8","72,553","3,6154","0,622121",,326831,"6,6"
Philippines,PHL,"2,34",,,"29,42863846","6,341485572","94,189827","3194,6727","2,7","82,55854","3,5297","1,426784",,-15371,"6,71"
Palau,PLW,,,,,"0,108108108",100,"15948,2759","4,1","83,75366","4,4021","4,217822",,8,
Papua New Guinea,PNG,"2,538",,,,"-0,27925228","16,6","2584,32774","23,8","70,145","1,4639","195,7992",,24688,"6,03"
Poland,POL,"3,85",,,"71,02174377","5,945208477",100,"15504,5089","34,5","70,353","0,8871","15,40183",18536,-8736,"6,67"
Pre-demographic dividend,PRE,"5,305211509","35,0134","76,6476","8,630459785","2,46462964","47,0815597","1447,50952","51,9","66,535","0,2069","6,171429",,-594290,
Puerto Rico,PRI,"9,2",,,"102,1524734","-4,36060606",100,"31615,0668","9,4","78,662","3,7184","25,52537",,-17320,
"Korea, Dem. People's Rep.",PRK,"2,808",,,"27,20903969",,"46,298645",,"55,8","68,017","0,4042","14,26659",,-3223,"1,08"
Portugal,PRT,"6,99",,,"65,02790833","2,849325934",100,"23562,5545","68,8","60,244","0,2722","1,93913","2545,96",10177,"7,84"
Paraguay,PRY,"6,22",,,,"3,204250341","99,6","6242,9615","11,9","70,779","1,2763",..,,-16470,"6,24"
West Bank and Gaza,PSE,"26,26","87,2264","94,8428","46,4495697","1,227077378",100,"3562,33094","17,9","73,802","11,8054","8,755208",,-25137,"4,39"
Pacific island small states,PSS,"3,005583728",,"83,8887","21,00264931","2,829187508","82,9409683","4286,73414",17,"75,95","2,5998","90,12443",,-22554,
