Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,,,,"5,257854913",100,"30918,5152","62,2","63,081","0,2991","43,01591",,367,
Africa Eastern and Southern,AFE,"6,913046122",,,"8,898249626","2,513983566","43,0283322","1550,11176","9,3","79,184","1,8546","3,561338",,-366105,
Afghanistan,AFG,"11,11","50,1407",,"9,96378994","1,189228128","93,4308777","502,057099",24,"76,066","3,9243","87,15213",,-47205,"2,97"
Africa Western and Central,AFW,"4,201598674",,,"9,775409698","2,813142214","51,2128627","1732,81654",..,..,..,..,,-255888,
Angola,AGO,"9,522",,,"9,352542877","-1,31636169","45,29","2487,501","3,1",..,"6,5941",..,,61632,"3,62"
Albania,ALB,"12,3","86,6083","94,5297","56,60887146","4,019345617",100,"5287,66082",78,"62,144","0,7558","0,476824",,-9106,"5,98"
Andorra,AND,,,,"15,39402962","1,58876549",100,"42904,8285","6,8","78,511","5,5508","8,461538",,1184,
Arab World,ARB,"10,58333986","63,5143","84,0516","32,16476059","2,447794694","89,1769388","6573,81697","9,5","76,999","3,9757","12,90753",,511128,
United Arab Emirates,ARE,"2,24",,,,"1,313913882",100,"46722,2687","12,4","75,064","2,0138","39,56845",279,-8582,"2,76"
Argentina,ARG,"9,22",,,"90,97283173","-2,61739646","99,9937363","11795,1629",..,"76,072",..,..,17866,4690,"7,02"
Armenia,ARM,"13,21",,"90,7227","56,16505051","5,2","99,9","4391,92327","3,8","82,74878","15,8636","2,506098","698,4",-25835,"4,79"
American Samoa,ASM,,,,,"2,671118531",,"13195,9359","3,6","81,69268","7,1411","6,345455",,-1652,
Antigua and Barbuda,ATG,,"88,7898","95,6955",,"6,823762231",100,"17514,3559","21,5","72,76","3,2926","149,9322",,0,
Australia,AUS,"5,3",,,"103,3220901","2,883045123",100,"57206,9907","13,5","73,806","6,9554",..,,220307,"9,09"
Austria,AUT,"4,85",,,"85,86988831","2,425385361",100,"51466,5566","7,2","79,857","20,7380","3877,5",4955,35404,"8,29"
Azerbaijan,AZE,"4,94","88,5326","92,4247","27,70849991","1,5",100,"4739,79524","32,2","72,567","0,5862","34,1619","2133,07",1583,"2,65"
Burundi,BDI,"1,017","27,5228","92,8047","4,698550224","1,609935421","9,5092926","232,060617",13,"77,067","4,5414","87,5",,68145,"2,33"
Belgium,BEL,"5,95",,,"79,12374878","1,792945193",100,"47544,9811","3,4","74,17561","6,2796","4,088235",3607,55439,"7,78"
Benin,BEN,"1,47",,"97,211","12,00706005","6,697259461","39,0094223","1194,43821","4,1","81,59512","8,1844","34,79167",,3368,"5,74"
Burkina Faso,BFA,"4,69","31,0015","78,6452","6,346660137","6,604569068","14,4","779,202768",13,"73,703","1,6489","0,661861",518,-23971,"4,75"
Bangladesh,BGD,"4,38","66,5497",,"19,70263672","7,31941263","86,9152832","1963,41271","91,1","60,14","0,6368","1,262136",2877,-323380,"5,57"
Bulgaria,BGR,"5,21",,,"76,23020935","2,684760587","98,6996384","9451,85087",..,"80,825",..,..,4030,-12115,"7,03"
