Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,0,0,,"-18,5890992",100,"24487,8636","57,8","62,575","0,2235","43,01591",,0,
Africa Eastern and Southern,AFE,"7,631303888",0,0,"9,230360031","-2,88868058","46,2686206","1353,92753","9,4","76,989","1,5446","2,921933",,-48955,
Afghanistan,AFG,"11,71","47,6687",0,"10,8584404","-2,35110067","97,7","516,866797","22,9","74,453","3,7182","87,15213",,166821,"2,85"
Africa Western and Central,AFW,"4,914143315",0,0,"10,05908966","-0,92779955","51,734388","1686,9979",..,..,..,..,,-99761,
Angola,AGO,"10,35",0,0,,"-5,63821472","46,9554443","1502,95075","2,8",..,"5,7771",..,,7557,"3,66"
Albania,ALB,"13,067","86,78755","94,576125","61,39257813","-3,30208204",100,"5343,0377","72,1","62,261","0,5927","0,476824",,-9117,"6,08"
Andorra,AND,,0,0,"15,09827042","-11,1839399",100,"37207,222","6,4","78,841","5,1217","8,461538",,1474,
Arab World,ARB,"11,34837054","62,8005","83,64325","33,39014053","-5,07259512","90,63505","5639,39873","7,7","75,892","3,4056","12,90753",,-1585167,
United Arab Emirates,ARE,"4,29","44,9669","70,828925","52,70621872","-4,95705243",100,"37629,1742","11,3","72,173","2,4047","41,25966",261,-2762,"2,7"
Argentina,ARG,"11,46","67,280325","74,445375","99,26622772","-9,94323513",100,"8496,42816",..,"75,723",..,..,,2344,"6,95"
Armenia,ARM,"12,18",0,"91,901","53,30612946","-7,2",100,"4505,86775","3,7","83,2","14,7727","1,756098","698,4",-12825,"5,35"
American Samoa,ASM,,0,0,,"5,065359477",,"15501,5263","3,6","81,19268","6,6326","6,345455",,-1636,
Antigua and Barbuda,ATG,,"65,63265","71,013825",,"-17,502185",100,"15284,7724","19,4","66,868","3,3989","155,1448",,0,
Australia,AUS,"6,46","69,572975","72,5033","110,1392212","-0,05088534",100,"51722,069","13,3","72,677","6,0423",..,,117929,"8,96"
Austria,AUT,"5,36","65,271525","66,513425","88,7071991","-6,45396847",100,"48809,2269",7,"79,174","21,9769","3877,5",4966,20314,"8,16"
Azerbaijan,AZE,"7,16","22,13315","93,810875","36,15219879","-4,3000001",100,"4229,91065","28,8","71,968","0,5106","34,1619","2239,18",1084,"2,68"
Burundi,BDI,"1,03","29,227975","46,92005",,"0,327156893","9,1","216,827417","12,3","77,393","3,9049","87,5",,-10186,"2,14"
Belgium,BEL,"5,55","70,6795","73,781475","79,49960327","-5,36258592",100,"45517,9038","2,9","72,45722","5,8424","3,905882",3615,53428,"7,51"
Benin,BEN,"1,671","11,645125","48,561125","10,80247974","3,8487924","40,9859314","1237,9493","4,1","80,69512","7,3981","34,99167",,1732,"4,58"
Burkina Faso,BFA,"5,055","28,695625","74,916825","7,683710098","1,93032489","18,4672794","833,244336","11,7","72,854","1,7411","0,661861",518,-5665,"3,73"
Bangladesh,BGD,"5,209","63,661675",0,"22,5388546","3,448025628","96,2","2233,30589",86,"60,088","0,6312","1,262136",,-61154,"5,99"
Bulgaria,BGR,"5,12","67,5979","66,1084","74,37622833","-3,9586146","99,7","10153,4766",..,"81,136",..,..,4029,-9902,"6,71"
Bahrain,BHR,"1,674","91,68055","96,67865","56,63399887","-4,64463736",100,"23433,1872","27,5","71,609","1,3401","0,433205",,-48716,"2,49"
"Bahamas, The",BHS,"12,867","63,3004","57,3499",,"-23,5081763",100,"23998,268","25,6","64,467","1,5395","0,687974",,0,
Bosnia and Herzegovina,BIH,"15,265",0,0,"40,88134003","-3,01509515",100,"6095,10248","5,7","76,225","6,3123","0,848676",,-26857,"4,84"
Belarus,BLR,"4,05","97,03295","95,148575","76,89089203","-0,67290413",100,"6542,86454","36,3","65,647","2,2635","9,184483","5453,5",13589,"2,59"
Belize,BLZ,"10,788","70,74505","96,11115","25,70165062","-13,4029591","96,8076248","5266,87616","14,7","74,009","1,9425","1,186893",,0,
Bermuda,BMU,,0,0,,"-6,83795519",100,"107791,886","10,9","75,849",..,..,,291,
Bolivia,BOL,"7,9","76,593075","89,96505",,"-8,73788436","97,221817","3068,81256","11,5","74,795","21,7058","1,082353",,-4666,"5,08"
Brazil,BRA,"13,93","61,436375","71,625325","54,57279968","-3,2767588","99,702713","6923,7002","6,5","73,65854","4,9233","24,17143",,56880,"6,92"
Barbados,BRB,"10,105","95,915575","95,220175",,"-13,3110215",100,"16643,8066","85,4","59,731","0,2535","6,544",,0,
Brunei Darussalam,BRN,"7,41","83,8877","93,22895","32,69832993","1,13357335",100,"27179,3444","54,6","61,566","0,0584","2,784294",,-395,
