Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
IDA & IBRD total,IBT,"5,951118581","63,2416","88,4463","32,61330032","5,14","87,2647558","4839,28174",19,"72,978","2,1275","12,92209",,-4107622,
IDA total,IDA,"4,638699117","41,2594",,"10,71667957","3,89","60,2450042","1390,17032","3,3","82,62683","12,1915","45,02236",,-3264574,
IDA blend,IDB,"4,51758273","44,2761",,"9,803119659","2,52","71,8735554","1751,91665","12,6","78,783",..,..,,-1778968,
Indonesia,IDN,"3,78",,"94,0978","36,63386154","5,07","98,14","3839,78507","8,9","79,781","21,9104",..,"4748,742",-39282,"6,39"
IDA only,IDX,"4,692746866","39,7106","81,4267","11,18107033","5,08","54,4342027","1209,69997",20,"71,2","1,5229","15,75107",,-1485606,
Isle of Man,IMN,,,,,"2,84",100,"83510,3037","49,4","67,434","2,7229","3,844538",,275,
India,IND,"7,733",,,"26,81100845","6,8","91,7941589","1957,96981","4,4","74,62927","3,6642","1,069171",67368,-219656,"7,23"
Not classified,INX,,,,,,,,9,"79,654","4,7749","37,75",,,
Ireland,IRL,"6,71","98,6613","95,7804",,"9,01",100,"69970,9489","75,5","53,064","1,1067","0,837476",1888,29200,"9,15"
"Iran, Islamic Rep.",IRN,"12,23","81,3753","99,7029","68,12741089","2,76","99,94","5758,59073","84,5","60,553","0,2644","0,07295",9021,7709,"2,45"
Iraq,IRQ,"13,02",,,,"-1,8","99,8843765","4725,19357","12,3","72,482","8,1676","817,1429",,-9899,"4,09"
Iceland,ISL,"2,74","91,2734","99,8337","71,33724976","4,19",100,"72010,149",..,"83,74634","4,1112",..,,8316,"9,58"
Israel,ISR,"4,22","98,6382","97,0188","59,06586838","4,28",100,"41114,7817","4,4","75,48049","3,9677","1,675291",1495,14518,"7,79"
Italy,ITA,"11,21","94,6635","95,6557","62,69562912","1,67",100,"32406,7203","2,8","82,09512","15,1031","4,56","16787,2",70475,"7,98"
Jamaica,JAM,"7,4","73,202","82,5169",,1,"97,3688812","5273,14892",..,"84,563",..,..,,-11329,"7,29"
Jordan,JOR,"18,12","61,903","80,0935","28,43066025","2,47",100,"4073,1164","65,7","65,094","0,1330","3,993323",,41956,"3,87"
Japan,JPN,"2,82",,,"62,46297836","1,68",100,"38834,0529","50,7","62,977","0,0780","8,406444",,164070,"7,88"
Kazakhstan,KAZ,"4,9","99,8354","86,2406","51,06547928","4,1",100,"9247,58069","8,1","75,476","7,0398","1,156379","16040,3",-15903,"3,06"
Kenya,KEN,"3,52",,,"11,88621044","3,84","55,8319931","1675,98843","8,3","79,943","3,2726","15,66667",,-68704,"5,11"
Kyrgyz Republic,KGZ,"3,589","83,1613","89,8876","41,27732468","4,74",100,"1242,77022","109,3","59,132","0,1880","8,643333",424,-27796,"5,11"
Cambodia,KHM,"0,14",,"90,5432","13,49985123",7,"89,07","1400,89927","6,4","82,34634","3,2504","91,08911",,-45720,"3,63"
Kiribati,KIR,,,"94,6928",,"0,19","85,6744232","1566,44704","33,6","64,27","3,1640",..,,-811,
St. Kitts and Nevis,KNA,,,,,"0,01",100,"22160,6036",46,"65,083","0,8193","337,05",,-191,
"Korea, Rep.",KOR,"3,65","98,0071","97,2552","93,72302246","3,16",100,"31616,8434","14,9","74,51463","3,3002","22,17375",4071,112523,8
Kuwait,KWT,"2,198",,"85,8709","55,13330078","-4,7",100,"29258,2896","15,2","74,138","3,8628","21,47677",,140685,"3,85"
Latin America & Caribbean (excluding high income),LAC,"8,238299054","77,1501","93,7489","48,90491104","2,01","97,571696","8732,61539","28,2","71,467","1,3284",..,,377456,
Lao PDR,LAO,"3,27","60,1303","92,4861","15,43837452","6,89","93,6","2439,46336","15,3","70,516","2,9268","51,85185",,-10400,"2,37"
Lebanon,LBN,"10,211",,,"43,99457932","0,9","99,8519135","8679,89742","3,3",..,..,..,,-230947,"4,72"
Liberia,LBR,"3,042",,"44,2556",,"2,46","24,2","706,892692","17,6","70,237","6,3228","1,328736",,-24830,"5,23"
Libya,LBY,"19,291",,,,"32,5","70,5781479","10529,1163","3,3","76,48537","3,6425",..,,9208,"2,32"
St. Lucia,LCA,"18,86","80,819","94,8663","20,79093933","3,39","99,8968353","11270,4329","21,3","73,66","1,7737","36,45862",,0,
Latin America & Caribbean,LCN,"8,04569833","77,3615","93,6537","51,53564072","1,88","97,7135424","9202,64483","78,4","59,771","0,2507","1,468594",,-281608,
Least developed countries: UN classification,LDC,"4,879533522","37,937","80,9836","9,76651001","4,32","50,2439652","1104,79466","48,1","65,843","0,6215","3,313821",,-891458,
Low income,LIC,"5,103890075","33,5103","80,8012","8,963950157","2,79","39,0749596","800,556409","44,4","62,293","1,7864","4,576299",,-889608,
Liechtenstein,LIE,,"85,9415",,"36,02344131",,100,"170875,74","31,4","62,988","4,7937",..,,172,
Sri Lanka,LKA,"4,05","89,0423","99,0992","17,94799805","6,46","97,5","4388,20191","32,1","68,91","0,4707","4,791675",1562,-98598,"6,48"
Lower middle income,LMC,"6,375584012","59,5699","86,6449","23,63228035","5,11","85,572236","2156,09153",4,"81,76098","9,0893","71,96545",,-2837917,
Low & middle income,LMY,"5,941092132","63,2039","88,4389","31,99383926","5,16","86,8885851","4680,47789",..,"77,53902",..,..,,-3476694,
Lesotho,LSO,"16,985",,"93,3106","10,14649963","-3,1","33,7","1062,7124","5,2","81,85854","6,8405","3,019878",,-3327,"6,64"
Late-demographic dividend,LTE,"5,274082107","82,4492","96,5065","51,01583099","5,3","99,2787423","9021,94241","16,8","73,554","0,8377","0,850809",,494417,
Lithuania,LTU,"7,07","98,4256","98,1753","72,41745758","4,28",100,"16885,4074","118,4","62,16","0,0875","45,17969",1911,-15937,"7,41"
Luxembourg,LUX,"5,52","83,5824","95,0308","19,59902","1,32",100,"110193,214","122,4","52,305","0,5606","5,643439",275,9563,"8,81"
Latvia,LVA,"8,72","93,7997","96,3035","88,05742645","3,31",100,"15695,1152","9,6","75,95366","3,5846","29,6068","1859,6",-9498,"7,25"
"Macao SAR, China",MAC,"1,99","84,3822","96,7864","75,98607635","9,98",100,"78985,6323",..,..,..,..,,7727,
St. Martin (French part),MAF,,,,,,100,,"2,5","82,60976","7,4238","0,704476",,-816,
Morocco,MAR,"9,225","63,467","96,8942","33,73701096","5,06",100,"3288,50269",11,"77,924","15,7718","116,7143",2109,-71807,"4,87"
Monaco,MCO,,,,,"-3,5",100,"173611,784","71,8","66,297","0,9185","363,5818",,416,
Moldova,MDA,"3,89","77,8548","86,5064","51,94903183","4,18","99,98","3454,95469","18,5",..,"11,9415",..,1151,-43868,"5,94"
Madagascar,MDG,"1,815","29,1202",,"5,236249924","3,93","24,1","503,498059","15,9","77,795","2,4747","0,886823",,485,"5,11"
Maldives,MDV,"5,371",,"95,4151","34,77801895","7,21","99,8","10063,0037","48,3","65,103","0,7136","0,048951",,11665,
Middle East & North Africa,MEA,"10,32997374","72,4231","93,458","40,10937881","1,75","97,6319329","7337,22418","20,8","73,644","1,2463","2,062393",,-175273,
Mexico,MEX,"3,42","81,156","95,3006","40,33906937","2,11",100,"9434,37818","15,7","75,879","1,7172","2,130328",,-12438,"6,41"
Marshall Islands,MHL,,,,,"3,41","93,7629471","4507,62286","28,7","71,516","1,2503","19,16311",,-1901,
Middle income,MIC,"6,01836101","67,9526","90,0274","34,90275955","5,2","92,0328374","5098,30761","4,7","77,75366","8,2362","18,80597",,-2587086,
North Macedonia,MKD,"22,81",,"94,8883","40,95705032","1,08","99,9943161","5450,49704","3,6","81,42439","5,1720","16,21439",683,-1018,"5,57"
Mali,MLI,"1,494","29,3461","61,2775","4,164893627","5,31","34,78","795,682802",..,"79,258",..,"12,32394",,-33995,"5,64"
Malta,MLT,4,"92,9608","99,5376","52,8446312","10,9",100,"28823,3458","6,9","80,717","32,2566","446,4286",,10836,"8,15"
Myanmar,MMR,"1,36","59,6237","97,6626",,"5,75","69,8148366","1175,20255","7,9","75,30976","3,7883","15,9816",,-105438,"3,83"
Middle East & North Africa (excluding high income),MNA,"12,08558957","70,1622","93,0812","37,90150833","3,12","97,2398131","3771,39884","6,9","72,45146","11,0352","1,493738",,-693065,
Montenegro,MNE,"16,08","89,3359","95,7148","58,35802078","4,72",100,"7803,36258","44,6","65,941","0,1027","5,792173",249,-1980,"5,69"
Mongolia,MNG,"6,36",,"97,8693","61,90488052","5,64","93,6207581","3708,24822","18,2","72,59","1,2291",..,1810,10802,"6,5"
Northern Mariana Islands,MNP,,,,,"23,2",100,"30751,6411",2,..,..,..,,-830,
Mozambique,MOZ,"3,453",,"89,8735","7,240449905","3,74","24,3","462,69997","19,7","68,267","0,6460","1,876147",,14804,"4,02"
Mauritania,MRT,"10,34","28,1869","77,8236","5,143219948","6,27","42,9","1634,64285","8,1","77,16","16,0778","955,9583",728,-3001,"3,82"
Mauritius,MUS,"6,75","84,5463","95,8069","40,04906845","3,94","99,61","10841,6847","45,9","67,75","0,6466","9,591498",,-2381,"8,22"
Malawi,MWI,"4,96",,,,4,"12,7","500,165547","5,9","75,53902","6,7431","63,95861",,-4795,"5,49"
Malaysia,MYS,"3,41","74,3982","99,6456","43,66804504","5,81","99,9786987","9979,70476","14,6","74,3","5,9545",..,2773,78257,"6,54"
North America,NAC,"4,576640376","93,0733","95,0823","86,46787262","2,3",100,"58423,8859","121,4","58,652","0,1459","0,132625",,1739131,
Namibia,NAM,"21,656",,"97,3414","23,35707092",-1,"52,5","5453,57062","2,6","83,09512","8,4323","83,21667",,-8597,"6,31"
New Caledonia,NCL,"12,275",,,,,100,"33874,9308",..,"75,03",..,..,,-2389,
Niger,NER,"0,542","20,0669","65,1246","3,632319927",5,"17,5764389","514,543269",6,"77,16585","6,1730","4,415079",,-6827,"3,76"
Nigeria,NGA,"4,729",,,"11,57855129","0,81","54,4","1941,87949","2,4","81,02927","6,8350","4,988752",,15016,"4,44"
Nicaragua,NIC,"3,3",,,,"4,63","84,6272812","2127,27766","21,4","69,988","0,4583",..,,-21841,"4,66"
Netherlands,NLD,"4,84","93,1644","98,6477","83,20098877","2,91",100,"48675,2223","126,1","55,654","0,0441","54,96667",,60585,"8,89"
Norway,NOR,"4,16","95,6079","99,8825","83,7353363","2,46",100,"76131,8384","35,8","65,402","7,6837","43,25893",4208,21584,"9,87"
Nepal,NPL,"10,66","57,5137","96,3341","12,11095047","8,98","86,6246567","1027,96547","98,7","55,309","0,1419","2,530769",,-78062,"5,18"
Nauru,NRU,,,,,"-6,5","99,8330078","9361,03867","3,2","83,28293","5,6816","27,06295",,-34,
New Zealand,NZL,"4,74","96,8604","99,1168","81,26985931","3,52",100,"42910,9728","7,9","75,403","1,0760","24,51894",,48815,"9,26"
OECD members,OED,"5,900582729","89,3494","95,6434","74,82827759","2,49","99,9406548","37405,8305","16,3","71,84","5,0853","50,83333",,3998196,
Oman,OMN,"2,573","94,0779","93,2834","43,57677841","0,3",100,"17802,5751",23,"73,127","2,9967","14,3",,5777,"3,04"
Other small states,OSS,"9,542878712","54,0203","85,4219","19,4174099","1,32","74,6671786","12899,8791",..,"78,59",..,..,,100092,
Pakistan,PAK,"3,913","35,4211","64,8962","8,800550461","4,43","92,661026","1567,64062","15,7","74,305","2,1327","7,9",7791,-1574581,"4,26"
Panama,PAN,"5,392","63,7914","86,2398",,"5,59","93,7","15185,9725","62,1","65,445","0,5305","673,375",,11059,"7,08"
Peru,PER,"3,69","85,5852","94,9189","71,24655151","2,52","94,8","6676,30779","19,4","72,417","4,1601","0,622121",,104242,"6,49"
Philippines,PHL,"2,55",,"93,7756","35,40542603","6,93",93,"3077,43443","2,8","82,40976","3,7949","1,414152",,36111,"6,71"
Palau,PLW,,,,,"-4,1",100,"16011,6612","4,1","83,55122","4,5788","4,217822",,8,
Papua New Guinea,PNG,"2,478",,,,"3,53","19,2309399","2495,14047","23,9","68,481","1,3588","195,7992",,26515,"6,03"
Poland,POL,"4,89","94,0841","95,7848","70,61746216","5,14",100,"13815,4999","35,5","69,905","0,7571","12,58746",18513,-1983,"6,67"
Pre-demographic dividend,PRE,"5,268527694","34,6749",,"8,545809746","1,59","44,317567","1429,30517","53,9","65,999","0,2072","6,171429",,-577864,
Puerto Rico,PRI,"10,8",,,,"-2,9",100,"31108,7528","9,9","78,394","3,7679","25,52537",,-62275,
"Korea, Dem. People's Rep.",PRK,"2,86",,,,,"44,1857491",,"57,7","67,745","0,4519","14,26659",,-3222,"1,08"
Portugal,PRT,"8,87","94,6648","97,5641","64,16982269","3,51",100,"21490,4299","71,2","60,154","0,2571","1,93913","2545,96",5244,"7,84"
Paraguay,PRY,"4,61",,,,"4,81","99,3","6136,05835","12,1","70,713","1,2607",..,,-16628,"6,31"
West Bank and Gaza,PSE,"25,68","87,2008","95,2627","45,6631012","1,42","99,9","3620,36049","18,5","74,23","12,3256","8,755208",,-25452,"4,46"
Pacific island small states,PSS,"2,974238029",,,"20,27325058","3,99","82,3569095","4128,66065","17,1","75,845","2,6028","84,05244",,-22717,
Post-demographic dividend,PST,"5,835598979","90,7315","96,1897","78,20713043","2,36","99,9706772","42971,5269","11,4","77,141","5,0932","25,89823",,3525765,
