Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,,,,"5,48",100,"29326,7081","64,6","63,016","0,2812","43,01591",,218,
Africa Eastern and Southern,AFE,"6,940364925",,,"8,85848999","2,55","40,1973319","1613,66849","9,3","79,047","1,8806","4,055762",,-343075,
Afghanistan,AFG,"11,18","48,4429",,,"2,65","97,7","530,149863","24,5","75,743","3,8337","87,15213",,-47090,"2,55"
Africa Western and Central,AFW,"4,140483974",,,"9,588489532","2,31","48,7876402","1588,581",..,..,..,..,,-200823,
Angola,AGO,"9,535",,,"9,65568924","-0,1","42,9062424","2283,21423","3,2",..,"6,3021",..,,77733,"3,62"
Albania,ALB,"13,62","86,6726","95,5395","58,65351105","3,8","99,89","4531,03221","81,1","61,68","0,8297","0,476824",,-9768,"5,98"
Andorra,AND,,,,"15,43694019","0,35",100,"40632,2316","7,1","78,268","5,4884","8,461538",,887,
Arab World,ARB,"10,91992044","63,063","83,7655","30,88459015","1,22","90,6627537","6224,52297","10,3","76,833","4,0701","12,90753",,13305,
United Arab Emirates,ARE,"2,46","92,7999","95,0275",,"0,74",100,"43063,9675",13,"74,906","1,8834","41,76994",,-12895,"2,69"
Argentina,ARG,"8,35","90,7961","99,184","89,23294067","2,82",100,"14613,0357",..,"75,903",..,..,17609,4926,"6,96"
Armenia,ARM,"12,944",,"91,9463","53,59075928","7,5","99,7","4041,99507","3,8","82,5","16,1481","2,450943","685,66",-26326,"4,11"
American Samoa,ASM,,,,,-7,,"12372,8848","3,6","81,6439","7,4870","6,345455",,-1652,
Antigua and Barbuda,ATG,,"87,7403","94,1943",,"3,14",100,"16110,3124","22,9","72,248","3,2430","149,353",,0,
Australia,AUS,"5,59","92,2843","96,381","109,993309","2,28",100,"53934,1544","13,6","73,632","5,4388",..,,244875,"9,09"
Austria,AUT,"5,5","87,0013","88,6172","83,83925629","2,26",100,"47429,1585","7,3","79,689","20,9460","3877,5",4953,45573,"8,42"
Azerbaijan,AZE,"4,96",,"93,7475","27,06740952","0,2",100,"4147,19862","34,1","71,788","0,5418","34,1619",2132,1184,"2,65"
Burundi,BDI,"1,166","28,305","94,8755","4,437210083","0,5","9,3","244,145422","13,4","76,936","4,2265","87,5",,-68450,"2,33"
Belgium,BEL,"7,09","94,9469","98,7648","80,77381897","1,62",100,"44198,4824","3,6","74,12927","5,9464","4,108824",3605,56248,"7,78"
Benin,BEN,"1,643",,"97,0335","11,7388401","5,67","34,5","1095,27446","4,1","81,49268","8,1394","36,60067",,3716,"5,61"
Burkina Faso,BFA,"4,566","29,1423","76,4239","5,856659889","6,2","17,0133209","711,184544","13,7","73,562","1,7163","0,661861",518,-14801,"4,75"
Bangladesh,BGD,"4,37","63,7409",,"18,53050804","6,59",88,"1815,61019","93,4","59,856","0,5929","1,262136",2877,-175755,"5,43"
Bulgaria,BGR,"6,16","89,0576","86,4454","76,07991791","2,76","98,0648651","8386,5892",..,"82,351",..,..,4030,-13560,"7,03"
Bahrain,BHR,"1,169","92,3577","97,2786","45,18643951","4,29",100,"24349,9099","30,6","70,847","1,7319","0,433205",,29024,"2,71"
"Bahamas, The",BHS,"9,8","65,1366",,,"2,42",100,"30708,987","28,9","67,701","1,8913","0,687974",,1001,
Bosnia and Herzegovina,BIH,"20,53",,,"46,41592026","3,24",100,"5327,39318","6,1","76,935","6,5967","1,129296",417,-30669,"4,87"
Belarus,BLR,"5,65","96,3755","95,6173","91,32614899","2,53","98,742012","5785,53498","39,9","66,753","3,0550","8,041667",5459,15937,"3,13"
Belize,BLZ,"6,6","70,3441","96,1825","24,77198982","-1,7","94,1503296","6100,99468","15,4","74,827","2,1855","1,160219",,1222,
Bermuda,BMU,,,,"22,4178009","3,61",100,"111820,581","11,9","74,785",..,..,,227,
Bolivia,BOL,"3,65","76,1901","90,8778",,"4,2","91,8","3280,00821",11,"74,722","16,9431","1,082353",,-9669,"5,49"
Brazil,BRA,"12,93","81,7286","96,2993","50,02674866","1,32","99,8","9896,71751","7,3","74,81463","6,2020","26,94286",,56362,"6,86"
Barbados,BRB,"8,62","95,941","94,9926",,"0,46",100,"17843,1979","94,5","59,536","0,2332","6,544",,-65,
Brunei Darussalam,BRN,"9,32","84,0457","93,5329","34,91167068","1,33",100,"28186,9834","61,7","61,553","0,0474","2,784294",,-587,
Bhutan,BTN,"3,056","67,0654","87,4258","14,77133751","4,65","97,7","3240,70633",17,"76,593","1,0350","8,433333",,291,"5,08"
Botswana,BWA,"19,603",,,"22,4400692","4,11","67,4","6705,34106","28,9","70,515","0,7997","1,810945",886,3761,"7,81"
Central African Republic,CAF,"5,762","12,7199",,,"4,53","14,070508","414,740323","80,8","60,81","0,3721","0,398681",,-58734,"1,52"
Canada,CAN,"6,34","99,8097","99,8825","70,62715912","3,04",100,"45129,4293","5,3","81,83293","15,5472","1,272035","48150,4",361274,"9,15"
Central Europe and the Baltics,CEB,"5,29781663","89,7688","91,3002","64,01255798","5,1","99,8667228","14222,4543",..,..,..,..,,-76183,
Switzerland,CHE,"4,8","85,3295","93,1958","62,45972061","1,36",100,"82254,3769","110,9","53,721","0,0445","0,051418","4050,523",45208,"9,03"
Channel Islands,CHI,"7,505",,,,"1,97",100,"57683,8939","121,9","52,308","0,0986","5,864",,1429,
Chile,CHL,"6,95","88,6519","94,7407","89,92198944","1,36","99,7","15045,5279",..,"81,331",..,..,2057,214697,"7,84"
China,CHN,"4,47",,,"51,5827713","6,95",100,"8817,0455","7,6","80,35","4,7438","3,996384",93742,-180592,"3,1"
Cote d'Ivoire,CIV,"3,27","37,9944","85,5723","9,470000267","7,41","65,6","2113,34153","9,2","77,248","7,2262","21,19592",639,-18758,"3,93"
Cameroon,CMR,"3,598",,"92,874","12,74726963","3,54","60,9036217","1479,86222","14,6","76,646","1,5651","1,285018",884,-37910,"3,61"
"Congo, Dem. Rep.",COD,"4,459",,,,"3,73","17,9868259","451,089089","56,9","63,625","0,3663","0,833333",3641,4350,"1,61"
"Congo, Rep.",COG,"20,592",,,"12,26163006","-4,4","46,2067337","2088,5003","90,3","59,411","0,0338","0,075956",,-11604,"3,25"
Colombia,COL,"8,87","76,5618","93,1349","58,39604187","1,36","98,5","6449,97099","49,3","63,76","1,0178","0,020721",,415618,"6,67"
Comoros,COM,"8,056","42,9786","79,8375",,"3,82","78,7098312","1414,58669","8,7","79,377","1,6367","2,159292",,-2922,"3,71"
Cabo Verde,CPV,"12,24","71,4375","92,8624","21,16415024","4,55","88,6136093","3534,34358","85,6","58,48","0,4251","1,512233",,-1354,"7,88"
Costa Rica,CRI,"7,73","81,8674","96,3422","54,4580307","4,16","99,6","12118,1336","4,8","77,82683","4,2206","1,784881",,4196,"7,88"
Caribbean small states,CSS,"7,838296757","73,9034","88,3416",,"-0,5","97,2281862","10061,0866","5,4","77,529","2,3148","18,25289",,-15824,
Cuba,CUB,"1,7","84,181","95,5782","40,4316597","1,81","99,3961868","8543,36097",..,"78,01707",..,..,,-14498,"3,31"
Curacao,CUW,,,,"16,51016426","-1,7",100,"18788,8073","2,7","81,328","6,0911","27,69231",,535,
Cayman Islands,CYM,,,,"33,54517746","3,18",100,"81255,1123","3,2","78,97805","9,7740","12,39544",,1106,
Cyprus,CYP,"11,05","95,337","97,4934","75,94081116","5,73",100,"26697,0059",4,"81,10244","5,7561","14,92997",,5014,"7,59"
Czechia,CZE,"2,89","90,5186","89,3503","67,71421814","5,17",100,"20636,2","61,9","62,797","0,3878","6,333333",9408,2809,"7,62"
Germany,DEU,"3,75","85,2988","90,1429","68,46923065","2,68",100,"44652,5892","33,6","67,525","2,3522",10,33488,430803,"8,61"
Djibouti,DJI,"26,06",,"59,9602",,"5,46","60,2","2655,73322","35,1","73,063","2,2120","30,37021",,1535,"2,76"
Dominica,DMA,,,,,"-6,6","98,8858948","7408,0913","14,4","76,972","2,3088","2,241365",,187,
Denmark,DNK,"5,83","90,9215","98,5375","81,32200623","2,82",100,"57610,0982","21,8","71,302","2,4024",7750,,23188,"9,22"
Dominican Republic,DOM,"5,83","70,2724","92,8743","59,94818878","4,67",100,"7513,49795","14,3","72,311","1,0125","2,486884",,-30055,"6,66"
Algeria,DZA,"10,334",,"97,5883","49,37791061","1,3","99,5300217","4134,9361","87,6","60,821","3,7012","0,076154","4016,25",-36448,"3,56"
East Asia & Pacific (excluding high income),EAP,"3,916340632","78,3043",,"44,53372955","6,71","97,4566825","7149,12127","43,4","66,577","0,1712","20,78571",,-220848,
Early-demographic dividend,EAR,"6,6631231","63,7639","90,2659","30,14213943","4,57","90,5309326","3485,10955","2,7","78,09268","12,7324","14,04327",,-3441642,
East Asia & Pacific,EAS,"3,869336668","78,7363",,"47,22737885","5,05","97,7024677","10452,7371","63,2","57,895","0,9604","40,45455",,414719,
Europe & Central Asia (excluding high income),ECA,"7,342057356","88,6355","91,9879","71,76467896","3,93","99,9139023","7865,22745",56,"64,838","0,1468","8,645984",,-214294,
Europe & Central Asia,ECS,"7,453437542","90,2023","94,9776","70,82047272","2,87","99,9628231","23644,7807",..,"82,3439",..,..,,1026421,
Ecuador,ECU,"3,84","85,3386","91,6415",,"2,37","99,2","6246,40425","25,6","67,79","1,4484","0,297373",,49359,"6,02"
"Egypt, Arab Rep.",EGY,"11,767","81,66","97,0253","33,16210175","4,18",100,"2439,96728","2,4","81,63171","7,8093","2,149533",,-23281,"3,36"
Euro area,EMU,"9,033082143","90,5838","97,4485","73,63761902","2,62",100,"37157,1126","4,3","82,57561","4,7479","13,473",,883333,
Eritrea,ERI,"5,807","40,6905","51,7524",,,"48,0233116",,..,"82,618",..,..,,-38636,"2,37"
Spain,ESP,"17,22","96,8778","97,2717","91,88774109","2,98",100,"28185,3214","46,6","66,189","2,4973","0,084817",15559,167475,"8,08"
Estonia,EST,"5,81","94,3647","93,6813","72,13697815","5,79",100,"20437,7654","55,5","62,995","0,2529","3,386667",1033,5329,"7,79"
Ethiopia,ETH,"2,896",,,"10,36400795","9,56","44,3","755,752645",10,"73,57","2,6575","2,364579",754,71769,"3,42"
European Union,EUU,"8,123023859","91,4463","96,798","71,6794281","2,84","99,9693132","33088,6746","3,9","80,99268","8,8583","22,84393",,920207,
Fragile and conflict affected situations,FCS,"5,903472456","37,6317","76,5665","14,99499989","2,49","54,557782","1795,60316",51,"64,013","0,5008","4,780858",,-2323259,
Finland,FIN,"8,64","96,1047","98,6294","90,69838715","3,19",100,"46412,1365",..,"81,83",..,..,5926,13307,"9,03"
Fiji,FJI,"4,261",,,,"5,35",96,"5825,19881","4,3","81,2878","6,2108","17,47241",,-11605,"5,85"
France,FRA,"9,41","94,666","98,9273","65,80223083","2,29",100,"38781,0495",..,"71,64122",..,..,"29248,142",13175,"7,8"
Faroe Islands,FRO,,,,,"3,51",100,"59328,2335","16,4","74,765","2,3776","7,05",,622,
"Micronesia, Fed. Sts.",FSM,,,,,"2,68","76,5389709","3320,35498",..,"77,155",..,..,,-1283,
Gabon,GAB,"20,732",,,,"0,47","86,27","6975,6952","26,3","72,551","1,0275","3,044048",810,4019,"3,61"
United Kingdom,GBR,"4,33","97,1325","99,4918","60,15005112","2,44",100,"40622,6894","108,3","59,109","0,2714","0,38305",16294,239014,"8,53"
Georgia,GEO,"13,94","94,2103","97,9148","62,74975967","4,84",100,"4356,92859","85,5","60,066","0,1631","1,09375",1285,-7886,"5,93"
Ghana,GHA,"3,37","55,4414","85,1822","16,36607933","8,13",79,"1998,72267","31,3","68,667","3,2411","0,599461",,-4914,"6,69"
Gibraltar,GIB,,"93,8396",,,,100,,"66,3","63,854","0,3062","11,14784",,-58,
Guinea,GIN,"4,871",,,"8,52771759","10,3","35,4","843,464279","19,1","72,692","0,9740","1,772557",,-13726,"3,14"
"Gambia, The",GMB,"5,038",,"76,0989",,"4,82","56,2","632,001018",..,"84,68049",..,..,,-3694,"4,06"
Guinea-Bissau,GNB,"3,162",,,,"5,92",26,"718,245738","4,5","75,81707","5,0521","78,942",,-1398,"1,98"
Equatorial Guinea,GNQ,"8,263",,,,"-5,7","66,3520584","8410,39798","2,7","82,66098","4,8660","0,170588",,16395,"1,81"
Greece,GRC,"21,49","93,3459","98,2204","132,3023682","1,09",100,"18582,0893","38,7","70,467","1,7049","44,7787",2240,-25061,"7,29"
Grenada,GRD,,"87,73",,"95,37757874","4,44","92,1976471","9309,2613","25,6","69,936","1,9486","11,02863",,-190,
Greenland,GRL,,,,,"0,05",100,"50765,6956","14,5","75,971","7,4129","72,33463",,-383,
Guatemala,GTM,"2,46","43,5961","85,5841","17,10445404","3,08","93,3","4454,02466","27,9","70,413","3,9488","122,3381",,-48049,"5,86"
Guam,GUM,"5,43",,,,"0,89",100,"35663,025","3,5","82,1561","7,8482","2,760317",,-1852,
Guyana,GUY,"13,757",,,,"3,73","89,9895325","6220,97857",..,"80,457",..,..,,-6110,"6,46"
High income,HIC,"5,593078738","90,745","96,1566","76,1962204","2,38","99,9661644","42079,9179","3,8","82,55122","7,5639","160,1333",,4292164,
"Hong Kong SAR, China",HKG,"3,12","93,7349","95,7275","78,77810669","3,8",100,"46160,4298","3,3","82,94634","5,4379","18,50778",,0,"6,31"
Honduras,HND,"5,53","43,7782","80,0949","24,45844078","4,84","86,5","2403,30609","14,1","71,911","2,5727","12,47344",,-6782,"5,72"
Heavily indebted poor countries (HIPC),HPC,"4,673842069","32,5377","80,5917","8,501110077","4,79","41,5136645","1051,2207","2,6","84,09976","9,0637","18,44186",,50447,
Croatia,HRV,"11,21","92,3927","88,0407","67,55695343","3,41",100,"13562,144","16,5","75,502","2,5473","132,9765",2605,-13654,"6,63"
Haiti,HTI,"13,786",,,,"2,51","43,293541","1389,35862","10,5","72,95","11,9138","34,88733",,-34766,"4,03"
Hungary,HUN,"4,16","89,2791","90,834","49,90922928","4,27",100,"14621,2396","42,4","62,481","0,4106","19,47826","7751,7",18044,"6,64"
IBRD only,IBD,"6,320694962","73,4838","94,2779","41,9093895","5,25","96,6100097","6033,40589","54,4","66,597","0,6040",..,,-843048,
